language_candidate_id,name,is_language,has_grammar,has_syntax,can_be_held,question,predicted_answer,prediction_predicates,prediction_fail,category,has_identity,requires_parsing,resolves_to_an_ast,has_linear_decoding_pressure,is_stable_ontology_reference,is_live_ontology_editor,is_open_world,is_closed_world,is_description_of,distance_from_concept,is_open_closed_world_conflicted,dimensionality_while_editing,relationship_to_concept,model_object_facility_layer,sort_order
english,English,true,true,true,false,Is English a language?,true,"Has Syntax, Requires Parsing, Describes the thing, Has Linear Decoding Pressure, Resolves to AST, Is Stable Ontology, Can't Be Held And Has no Identity",,Natural Language,false,true,true,true,true,false,true,false,true,2,false,OneDimensionalSymbolic,IsDescriptionOf,M1,1
a-coffee-mug,A Coffee Mug,false,false,false,true,Is A Coffee Mug a language?,false,"No Syntax, No Parsing Needed, Is the Thing, No Decoding Pressure, No AST, Not 'Ontology', Can Be Held And Has Identity",,Physical Object,true,false,false,false,false,false,false,true,false,1,false,N/A,IsMirrorOf,NA,2
spoken-words,Spoken Words,true,true,true,false,Is Spoken Words a language?,true,"Has Syntax, Requires Parsing, Describes the thing, Has Linear Decoding Pressure, Resolves to AST, Is Stable Ontology, Can't Be Held And Has no Identity",,Natural Language,false,true,true,true,true,false,true,false,true,2,false,OneDimensionalSymbolic,IsDescriptionOf,M1,3
a-game-of-fortnite,A Game of Fortnite,false,false,false,false,Is A Game of Fortnite a language?,false,"No Syntax, Requires Parsing, Is the Thing, No Decoding Pressure, No AST, Not 'Ontology', Can't Be Held And Has Identity",,Running Software,true,true,false,false,false,false,false,true,false,1,false,MultiDimensionalNonSymbolic,IsMirrorOf,M4,4
sign-language,Sign Language,true,true,true,false,Is Sign Language a language?,true,"Has Syntax, Requires Parsing, Describes the thing, Has Linear Decoding Pressure, Resolves to AST, Is Stable Ontology, Can't Be Held And Has no Identity",,Natural Language,false,true,true,true,true,false,true,false,true,2,false,OneDimensionalSymbolic,IsDescriptionOf,M1,5
editing-airtable-base,Editing Airtable Base,false,false,false,false,Is Editing Airtable Base a language?,false,"No Syntax, No Parsing Needed, Describes the thing, No Decoding Pressure, Resolves to AST, Is Stable Ontology, Can't Be Held And Has Identity",,Running Software,true,false,true,false,true,true,false,true,true,2,false,MultiDimensionalNonSymbolic,IsDescriptionOf,M4,6
math,Math,true,true,true,false,Is Math a language?,true,"Has Syntax, Requires Parsing, Describes the thing, Has Linear Decoding Pressure, Resolves to AST, Is Stable Ontology, Can't Be Held And Has no Identity",,Formal Language,false,true,true,true,true,false,false,true,true,2,false,OneDimensionalSymbolic,IsDescriptionOf,M1,7
falsifier-a,Falsifier A,true,false,false,true,Is Falsifier A a language?,false,"No Syntax, Requires Parsing, Is the Thing, No Decoding Pressure, Resolves to AST, Is Stable Ontology, Can Be Held And Has Identity","Falsifier A Isn't a Family Feud Language, but Is marked as a 'Language Candidate.'",MISSING: Have you seen this Language?,true,true,true,false,true,false,false,false,false,1,false,N/A,IsMirrorOf,NA,8
falsifier-b,Falsifier B,false,true,true,false,Is Falsifier B a language?,true,"Has Syntax, Requires Parsing, Describes the thing, Has Linear Decoding Pressure, Resolves to AST, Is Stable Ontology, Can't Be Held And Has no Identity","Falsifier B Is a Family Feud Language, but Is Not marked as a 'Language Candidate.'",MISSING: Have you seen this Language?,false,true,true,true,true,false,false,false,true,2,false,N/A,IsDescriptionOf,M1,9
a-smartphone,A Smartphone,false,false,false,true,Is A Smartphone a language?,false,"No Syntax, No Parsing Needed, Is the Thing, Has Linear Decoding Pressure, No AST, Not 'Ontology', Can Be Held And Has Identity",,Physical Object,true,false,false,true,false,false,false,true,false,1,false,N/A,IsMirrorOf,NA,10
